,Acinar,Alpha,Beta,Delta,Ductal,Endothelial,Gamma,MHCII,Mast,Pancreatic Stellate
LOC101929010,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
CETN4P,0.99875358821529,0.8235615062920929,0.6220987175297381,0.7525241647178553,0.42635949793114414,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
DNAH9,0.99875358821529,0.01694882835594369,0.999519512745119,0.4468547043036619,0.03219059648926367,0.9991874004493209,0.982302250772118,0.9999510164979749,0.999670996610969,0.998933473743147
GALNS,0.03713082955655466,0.13317107672187717,0.00023694135001432366,0.0035644604715075385,0.10446439752586469,0.6779513314960889,0.01784376291033621,0.9999510164979749,0.999670996610969,0.0007545345301744671
TMEM260,0.6554059970590682,8.20231309444948e-18,5.780664622541642e-08,0.678753944007901,0.8455371102487605,0.06620274234569591,5.740123027959059e-07,0.9999510164979749,0.1532228259680102,0.5485338086435293
MED8,0.00882010768161123,0.00013780323889754688,0.5988245403782705,0.4311293703846241,7.20410398637663e-06,0.42757754927313024,0.0021136988282497533,0.9999510164979749,0.26257870760034907,3.218879714582714e-05
TP53BP2,2.5877564128732845e-06,1.7381406796407592e-17,0.004019945627867761,0.07043047026143254,8.044875254813233e-35,0.9991874004493209,0.007899851536729275,0.8413960470895245,0.3872560805879878,0.00012930562606774387
C3orf17,0.15561866251968148,0.0008094906375340005,0.25524216752362494,1.0,3.903088613009834e-05,0.7966009668207127,0.6284969452563945,0.9999510164979749,0.999670996610969,0.004032427506086282
IARS2,2.9730153861699357e-05,1.2394754099930337e-12,0.999519512745119,0.9854765451226282,1.3056918192531513e-19,0.9991874004493209,0.0018353045524023873,0.9999510164979749,0.999670996610969,0.5724638973666105
DMRTA2,0.99875358821529,1.0,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
MAX,0.7800271274877292,1.721600877534752e-08,0.5791101967570154,1.0,2.513219901399057e-08,0.28501386400947054,0.7382938820313533,0.9189540625225728,0.999670996610969,0.00010608989256983431
DNM2,5.0248987720442875e-09,3.1678206570809554e-08,0.0004019102981039502,2.5645716738533974e-05,1.2891434005172225e-28,0.9620508594133166,0.26784043257873136,0.9999510164979749,0.15351758997551346,0.998933473743147
EDN1,7.066503016803496e-17,3.075916043174837e-34,1.3398038274326982e-05,0.009213012921542037,4.16280179857926e-94,0.9991874004493209,1.6044408857045704e-05,0.9999510164979749,0.918909130658149,0.05059641119283722
MIR6800,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
PEBP4,0.99875358821529,0.9190595979872571,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
LAMC1,9.011912782798757e-13,9.081479573096312e-37,4.6136914114199354e-15,2.4042283147990144e-12,2.1160224789887177e-100,0.1990344518640183,0.003437943914671041,0.3088132677002915,0.14211624904451572,1.102282294479409e-15
CHGB,6.692585497628272e-72,1.02351501576405e-232,0.0077743720479631065,0.33368525083040473,7.935242039829648e-163,4.047148913748774e-05,6.022986885495277e-14,0.20475929454809802,0.07137735684670524,3.158763213029321e-17
AHNAK,0.0010635414610406437,4.337804501626831e-45,2.3993217413341796e-13,1.7188835138610338e-05,8.057231968692869e-88,0.7700549455977019,0.9499439316876875,0.9999510164979749,0.002765186187810963,6.398075788482549e-12
TSPAN18,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.5497163663233554,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
